"gamma","epsilon","c","test_r2"
"0.71688217","0.31981745","3.430402","-0.12604317923355213"
"82.369965","0.16916719","0.7686088","-0.12614240278827404"
"89.79303","0.014207702","0.86032933","-0.12874553479420792"
"0.03684767","0.5676794","62.83394","-0.1294419314928661"
"0.60978276","0.14575988","3.9221714","-0.129463039736186"
"0.45740184","0.27095133","5.1652675","-0.13001951543465906"
"0.24125642","0.08043056","9.669743","-0.13007565913333075"
"25.948324","0.050505117","0.31890637","-0.1307838692161929"
"4.5209346","0.7483343","0.6581605","-0.13138995080438254"
"0.035438184","0.022537744","64.06828","-0.13244609849599698"
"0.14084604","0.018463654","16.198008","-0.13262955827480494"
"41.87698","0.035101913","0.35635966","-0.13474116239701162"
"95.545975","0.5356696","0.9751337","-0.13476187266650985"
"43.76584","0.02146623","0.36345157","-0.13583816321436282"
"7.3090816","0.13898847","0.4516662","-0.13595689166730818"
"0.0462029","0.15336367","47.902798","-0.1364030344469509"
"0.8999474","0.9628676","2.5310545","-0.13648352149255638"
"0.28250855","0.033109102","7.9087086","-0.1370034316680777"
"0.11566245","0.052842334","19.047733","-0.13767924792410047"
"0.47611496","0.792442","4.5099654","-0.1395096766624604"
"0.028944856","0.046242956","74.69686","-0.13972416596607018"
"0.045137998","0.14618297","47.612076","-0.14074106532689257"
"1.6593165","0.425428","1.3829287","-0.140850646161937"
"5.0192156","0.05780525","0.5629714","-0.14101122424763957"
"1.6469734","0.02384464","1.4208734","-0.14153126818440276"
"20.995106","0.9149652","0.29339147","-0.14233822251970074"
"0.6875123","0.076971926","3.198983","-0.14269217772713327"
"0.9519898","0.07986883","2.3424745","-0.14285240608911676"
"4.6638384","0.55387366","0.5583138","-0.14489039097856637"
"0.98199666","0.083735846","2.1849775","-0.14660152581767716"
"0.09705257","0.011623957","21.07903","-0.14790581533708225"
"0.37035584","0.06469794","5.3377934","-0.14883351356350927"
"0.2765647","0.056240957","7.2444935","-0.14895230129180548"
"0.43472108","0.15269704","4.5189486","-0.1494678871450601"
"4.0737963","0.0270202","0.5770638","-0.15097145805145518"
"0.20277771","0.3443886","9.466706","-0.1511557830882322"
"0.020192914","0.03410937","90.14019","-0.15138440843605383"
"0.02613171","0.03720832","69.63509","-0.15145728453460383"
"0.09864683","0.010766681","18.25699","-0.15349480198551224"
"7.344667","0.3704184","0.36919615","-0.1547092208923866"
"42.98808","0.47733027","0.31407714","-0.15495066483311093"
"17.587797","0.14090033","0.26339424","-0.15586665214711592"
"0.72717214","0.016274381","2.5309968","-0.15675271006028724"
"0.06342629","0.44144127","27.673988","-0.15750854338161369"
"0.099291116","0.7768844","17.768555","-0.15768419430561775"
"12.280393","0.2840706","0.28266343","-0.15904223099747017"
"0.05857371","0.36051774","28.596529","-0.1629074925053764"
"1.7912538","0.12579162","1.0382228","-0.16609411250719885"
"8.371203","0.031341195","0.3204781","-0.16762946003282653"
"43.95231","0.14719522","0.28597733","-0.16868147327194682"
"57.22638","0.02403529","0.34986103","-0.16954382461394135"
"40.667023","0.20837522","0.26743832","-0.17115955240308578"
"0.109157905","0.044821806","14.647982","-0.1732314396795216"
"0.85012937","0.31302086","1.8983473","-0.17520212905097465"
"7.3721566","0.016333867","0.322229","-0.17589306239583014"
"35.538185","0.0111301625","0.23921442","-0.1765512028193632"
